rank,rating_rank,num_rating_rank,author,title,pub_year,orig_lang,gr_avg_rating,gr_num_ratings,gr_num_reviews,oclc_marc_url,wiki_url,gr_url,pg_eng_url,pg_orig_url
36,320,160,Jack London,The Call of the Wild,1903,English,3.9,"426,724","15,327",http://www.worldcat.org/title/call-of-the-wild/oclc/22614827,https://en.wikipedia.org/wiki/The_Call_of_the_Wild,https://www.goodreads.com/book/show/1852.The_Call_of_the_Wild?ref=nav_sb_ss_1_20,https://www.gutenberg.org/cache/epub/215/pg215.txt,NA
37,327,481,Jules Verne,"20,000 Leagues Under the Sea",1870,French,3.89,"11,238",716,https://www.worldcat.org/oclc/74461775,https://en.wikipedia.org/wiki/Twenty_Thousand_Leagues_Under_the_Seas,https://www.goodreads.com/book/show/15762322-20-000-leagues-under-the-sea-and-other-classic-novels?ref=nav_sb_ss_1_28,https://www.gutenberg.org/cache/epub/164/pg164.txt,https://www.gutenberg.org/cache/epub/5097/pg5097.txt
38,145,97,Leo Tolstoy,Anna Karenina,1878,Russian,4.09,"843,157","35,039",https://www.worldcat.org/oclc/48764443,https://en.wikipedia.org/wiki/Anna_Karenina,https://www.goodreads.com/book/show/15823480-anna-karenina?ref=nav_sb_ss_1_13,https://www.gutenberg.org/cache/epub/1399/pg1399.txt,unavailable
39,212,232,Kenneth Grahame,The Wind in the Willows,1908,English,4.01,"216,887","9,012",https://www.worldcat.org/oclc/6143356,https://en.wikipedia.org/wiki/The_Wind_in_the_Willows,https://www.goodreads.com/book/show/5659.The_Wind_in_the_Willows?ref=nav_sb_ss_1_23,https://www.gutenberg.org/cache/epub/289/pg289.txt,NA
40,123,57,Oscar Wilde,The Picture of Dorian Gray,1890,English,4.12,"1,518,854","68,658",https://www.worldcat.org/oclc/676725357,https://en.wikipedia.org/wiki/The_Picture_of_Dorian_Gray,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray?ref=nav_sb_ss_1_26,https://www.gutenberg.org/cache/epub/174/pg174.txt,NA
41,213,91,John Steinbeck,The Grapes of Wrath,1939,English,4.01,"902,261","23,772",http://www.worldcat.org/title/grapes-of-wrath/oclc/62593827,https://en.wikipedia.org/wiki/The_Grapes_of_Wrath,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath?ref=nav_sb_ss_1_19,https://www.gutenberg.org/cache/epub/46787/pg46787.txt,NA
42,158,74,Jane Austen,Sense and Sensibility,1811,English,4.08,"1,184,039","26,962",http://www.worldcat.org/title/sense-and-sensibility/oclc/7322260,https://en.wikipedia.org/wiki/Sense_and_Sensibility,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility?ref=nav_sb_ss_1_21,https://www.gutenberg.org/cache/epub/161/pg161.txt,NA
43,436,322,James Fenimore Cooper,The Last of the Mohicans,1826,English,3.7,"97,745","3,254",https://www.worldcat.org/oclc/13270825,https://en.wikipedia.org/wiki/The_Last_of_the_Mohicans,https://www.goodreads.com/book/show/38296.The_Last_of_the_Mohicans?ref=nav_sb_ss_1_24,https://www.gutenberg.org/cache/epub/940/pg940.txt,NA
44,374,203,Thomas Hardy,Tess of the d'Urbervilles,1891,English,3.83,"282,350","11,666",http://www.worldcat.org/title/tess-of-the-durbervilles/oclc/50937105,https://en.wikipedia.org/wiki/Tess_of_the_d%27Urbervilles,https://www.goodreads.com/book/show/32261.Tess_of_the_D_Urbervilles?ref=nav_sb_ss_1_25,https://www.gutenberg.org/cache/epub/110/pg110.txt,NA
45,9,1,J.K. Rowling,Harry Potter and the Sorcerer's Stone,1997,English,4.47,"9,977,698","160,913",https://www.worldcat.org/oclc/42354631,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher%27s_Stone,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone?ref=nav_sb_ss_1_37,NA_not-pub-domain,NA
46,198,239,Johanna Spyri,Heidi,1880,English,4.02,"198,602","6,119",https://www.worldcat.org/oclc/25831869,https://en.wikipedia.org/wiki/Heidi,https://www.goodreads.com/book/show/93.Heidi?ref=nav_sb_ss_1_5,https://www.gutenberg.org/cache/epub/20781/pg20781.txt,NA
47,421,289,James Joyce,Ulysses,1922,English,3.75,"127,499","9,351",https://www.worldcat.org/oclc/25831869,https://en.wikipedia.org/wiki/Ulysses_(novel),https://www.goodreads.com/book/show/338798.Ulysses?ref=nav_sb_ss_1_7,https://www.gutenberg.org/cache/epub/4300/pg4300.txt,NA
48,6,240,Arthur Conan Doyle,The Complete Sherlock Holmes,1930,English,4.5,"198,572","4,893",https://www.worldcat.org/oclc/3680935,https://en.wikipedia.org/wiki/A_Study_in_Scarlet,https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes?ref=nav_sb_ss_1_28,https://www.gutenberg.org/cache/epub/244/pg244.txt,NA
49,33,90,Alexandre Dumas,The Count of Monte Cristo,1846,French,4.3,"908,474","31,025",https://www.worldcat.org/oclc/51272321,https://en.wikipedia.org/wiki/The_Count_of_Monte_Cristo,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo?ref=nav_sb_ss_1_25,https://www.gutenberg.org/cache/epub/1184/pg1184.txt,https://www.gutenberg.org/cache/epub/17989/pg17989.txt ; https://www.gutenberg.org/cache/epub/17990/pg17990.txt ; https://www.gutenberg.org/cache/epub/17991/pg17991.txt ; https://www.gutenberg.org/cache/epub/17992/pg17992.txt 
50,391,77,Ernest Hemingway,The Old Man and the Sea,1952,English,3.8,"1,139,566","39,222",https://www.worldcat.org/oclc/9583168,https://en.wikipedia.org/wiki/The_Old_Man_and_the_Sea,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea?ref=nav_sb_ss_1_23,NA_not-pub-domain,NA
51,52,29,C.S. Lewis,"The Lion, the Witch, and the Wardrobe",1950,English,4.24,"2,780,127","32,995",https://www.worldcat.org/oclc/28291231,"https://en.wikipedia.org/wiki/The_Lion,_the_Witch_and_the_Wardrobe",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe?ref=nav_sb_ss_1_37,NA_not-pub-domain,NA
52,214,236,Victor Hugo,The Hunchback of Notre Dame,1831,French,4.01,"200,247","7,354",https://www.worldcat.org/title/hunchback-of-notre-dame/oclc/1042098887,https://en.wikipedia.org/wiki/The_Hunchback_of_Notre-Dame,https://www.goodreads.com/book/show/30597.The_Hunchback_of_Notre_Dame?ref=nav_sb_ss_1_27,https://www.gutenberg.org/cache/epub/2610/pg2610.txt,https://www.gutenberg.org/cache/epub/70891/pg70891.txt ; https://www.gutenberg.org/cache/epub/71445/pg71445.txt
53,357,346,Carlo Collodi,Pinocchio,1883,Italian,3.85,"80,317","3,667",https://www.worldcat.org/oclc/769990379,https://en.wikipedia.org/wiki/The_Adventures_of_Pinocchio,https://www.goodreads.com/book/show/180617.Pinocchio?ref=nav_sb_ss_1_9,https://www.gutenberg.org/cache/epub/500/pg500.txt,https://www.gutenberg.org/cache/epub/52484/pg52484.txt
54,129,82,Gabriel García Márquez,One Hundred Years of Solitude,1967,Spanish,4.11,"965,067","45,234",https://www.worldcat.org/oclc/54659,https://en.wikipedia.org/wiki/One_Hundred_Years_of_Solitude,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude?ref=nav_sb_ss_1_29,NA_not-pub-domain,unavailable
55,415,329,Walter Scott,Ivanhoe,1819,English,3.76,"94,551","3,071",https://www.worldcat.org/title/ivanhoe/oclc/43719721,https://en.wikipedia.org/wiki/Ivanhoe,https://www.goodreads.com/book/show/6440.Ivanhoe?ref=nav_sb_ss_1_7,https://www.gutenberg.org/cache/epub/82/pg82.txt,NA
56,499,315,Stephen Crane,The Red Badge of Courage,1895,English,3.29,"103,976","4,404",https://www.worldcat.org/title/red-badge-of-courage-an-episode-of-the-american-civil-war/oclc/894750994?referer=di&ht=edition,https://en.wikipedia.org/wiki/The_Red_Badge_of_Courage,https://www.goodreads.com/book/show/35220.The_Red_Badge_of_Courage_Annotated_Enriched_Classics_?ref=nav_sb_ss_1_24,https://www.gutenberg.org/cache/epub/73/pg73.txt,NA
