Creator,Checkouts,Titles
Giuseppe Tomasi di Lampedusa,1159,1
William H. Armstrong,1150,1
John Bunyan,1146,1
William Styron,1106,1
Sheila Burnford,1093,1
John Galsworthy,1063,1
James Fenimore Cooper,1015,1
Elizabeth Cleghorn Gaskell,991,1
Richard Bach,956,1
Thornton Wilder,912,1
Herman Wouk,870,1
Thomas Wolfe,865,1
Émile Zola,864,2
Gaston Leroux,850,1
Ivan Sergeevich Turgenev,815,1
Anne Brontë,814,1
Robert James Waller,800,1
Kate Douglas Smith Wiggin,796,1
H. Rider Haggard,787,1
Thomas Keneally,739,1
Arthur Koestler,737,1
Armstrong Sperry,721,1
Stendhal,720,1
Aleksandr Isaevich Solzhenitsyn,711,1
Johann Wolfgang von Goethe,702,1
Laurence Sterne,626,2
Owen Wister,599,1
Thomas More,593,1
Henry Fielding,569,1
Jean-Paul Sartre,564,1
Marjorie Kinnan Rawlings,549,1
Paula Fox,548,1
Alessandro Manzoni,539,1
Betsy Cromer Byars,503,1
Norman Mailer,480,1
Cao Xueqin,456,1
Thomas Malory,448,1
Samuel Butler,439,1
James Hilton,436,1
Lew Wallace,366,1
R.D. Blackmore,350,1
Honoré de Balzac,278,2
Choderlos de Laclos,248,1
Oliver Goldsmith,244,1
Nicholas Evans,231,1
Edward Bellamy,203,1
Virginia Hamilton,158,1
Madame de (Marie-Madeleine Pioche de La Vergne) La Fayett,79,1
William Dean Howells,63,1
Henryk Sienkiewicz,42,1
Montesquieu,37,1
Edward Bulwer Lytton,19,1
