Title,Creator,Checkouts
Atonement,Ian McEwan,4918
The Little Prince,Antoine de Saint-Exupéry,4916
Number the Stars,Lois Lowry,4892
Les Misérables,Victor Hugo,4887
"Are You There God? It's Me, Margaret",Judy Blume,4883
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4863
Mansfield Park,Jane Austen,4860
Lolita,Vladimir Vladimirovich Nabokov,4805
The House of the Spirits,Isabel Allende,4795
The Witches,Roald Dahl,4793
Nineteen Eighty-Four,George Orwell,4763
The Dark Is Rising,Susan Cooper,4665
The Miraculous Journey of Edward Tulane,Kate DiCamillo,4651
Stranger in a Strange Land,Robert A. Heinlein,4593
Treasure Island,Robert Louis Stevenson,4549
The Stranger,Albert Camus,4460
Peter Pan,J.M. Barrie,4451
Mrs. Dalloway,Virginia Woolf,4450
The Murder of Roger Ackroyd,Agatha Christie,4423
Diary of a Wimpy Kid,Jeff Kinney,4374
"Ramona Quimby, Age 8",Beverly Cleary,4365
In Cold Blood,Truman Capote,4298
Stuart Little,E.B. White,4282
Northanger Abbey,Jane Austen,4223
Fearless Fourteen,Janet Evanovich,4200
Tales of a Fourth Grade Nothing,Judy Blume,4167
Bridge to Terabithia,Katherine Paterson,4166
"20,000 Leagues Under the Sea",Jules Verne,4153
The Outsiders,S.E. Hinton,4128
The Martian Chronicles,Ray Bradbury,4119
The Lovely Bones,Alice Sebold,4089
Go Tell It on the Mountain,James Baldwin,4082
The Metamorphosis,Franz Kafka,4073
My Ántonia,Willa Cather,4064
A Farewell to Arms,Ernest Hemingway,3981
Inkheart,Cornelia Funke,3958
My Side of the Mountain,Jean Craighead George,3900
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,3871
The Westing Game,Ellen Raskin,3791
Flowers for Algernon,Daniel Keyes,3735
The Lucky One,Nicholas Sparks,3724
The Associate,John Grisham,3715
The Fountainhead,Ayn Rand,3688
The Da Vinci Code,Dan Brown,3670
Walk Two Moons,Sharon Creech,3661
Snow Falling on Cedars,David Guterson,3632
The Scarlet Letter,Nathaniel Hawthorne,3587
The Spy Who Came In from the Cold,John Le Carré,3571
The Age of Innocence,Edith Wharton,3561
The Shack,William P. Young,3559
The House on Mango Street,Sandra Cisneros,3542
The Horse and His Boy,C.S. Lewis,3524
Where the Red Fern Grows,Wilson Rawls,3515
Crime and Punishment,Fyodor Dostoyevsky,3507
The Name of the Rose,Umberto Eco,3502
"Harriet, the Spy",Louise Fitzhugh,3473
First Family,David Baldacci,3398
Sula,Toni Morrison,3381
Anne of Avonlea,L.M. Montgomery,3357
The Broker,John Grisham,3346
The Three Musketeers,Alexandre Dumas,3315
Oliver Twist,Charles Dickens,3285
The Hound of the Baskervilles,Arthur Conan Doyle,3284
One Flew Over the Cuckoo's Nest,Ken Kesey,3281
The Woman In White,Wilkie Collins,3252
"Through the Looking-Glass, and What Alice Found There",Lewis Carroll,3249
The Sound and the Fury,William Faulkner,3248
The Good Earth,Pearl S. Buck,3230
The Silmarillion,J.R.R. Tolkien,3197
The House of Mirth,Edith Wharton,3196
The Joy Luck Club,Amy Tan,3192
The Plague,Albert Camus,3164
The Firm,John Grisham,3160
Song of Solomon,Toni Morrison,3146
White Fang,Jack London,3132
To the Lighthouse,Virginia Woolf,3111
The Maltese Falcon,Dashiell Hammett,3106
