Image ID,Title,Primary Language,Year Published,Author(s),Author's Home Country,Publishing House,"Book, Article, Essay",Country Published,Nonfiction or Fiction,Topic,,,,,,,,,,,,,,
NA,The Prosecutor,English,2020,Nazir Afzal,UK,Ebury Press,Book,UK,Nonfiction,Feminicde/Intersectionality,,,,,,,,,,,,,,
LB,The Shining Girls ,English,2013,Lauren Beukes,"South Africa, ",Random House Struik,Book,South Africa ,Fiction,Femicide,,,,,,,,,,,,,,
RAP,This Love Is Not For Cowards: Salvation and Soccer in Ciudad Juarez,Spanish and English,2012,Robert Andrew Powell,US,Bloomsbury USA,Book,US,Nonfiction,Borderland Violence,,,,,,,,,,,,,,
AS,"Unbroken: My Fight for Survival, Hope and Justice for Indigenous Women and Girls",English,2022,Angela Sterritt,Canada,Greystone Books,Book,Canada,Nonfiction,Colonialism/Racism/Femincide,,,,,,,,,,,,,,
HJ,Violence against Women,English,2007,Holly Johnson,,Springer,Book,US,Nonfiction,Gender Violence,,,,,,,,,,,,,,
ED,When Men Murder Women,English,2015,R. Emerson Dobash,,Oxford University Press,Book,UK,Nonfiction,Feminicide,,,,,,,,,,,,,,
DA,Why Do They Kill? ,English,2007,David Adams,,Vanderbuilt,Book,US,Nonfiction,Femicide/Domestic Violence,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
